State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,Nicobars,2020-05-13,2020,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-05-14,2020,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-05-23,2020,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-05-24,2020,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-01,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-04,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-07,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-13,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-14,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-17,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-21,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-25,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-27,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-06-30,2020,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-07-01,2020,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-07-02,2020,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-07-05,2020,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-07-16,2020,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-07-26,2020,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-03,2020,8,14.55662792,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-06,2020,8,10.57760738,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-07,2020,8,12.73698761,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-11,2020,8,0.255656923,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2020-08-15,2020,8,0.040688224,NRSC VIC MODEL
